order_id,customer_id,order_date,amount_usd,category,product,is_subscription_order
O10003,C100000,2024-09-03,35.75,body-care,Sugar Scrub,True
O10001,C100000,2024-09-10,43.28,body-care,Hand Repair,True
O10006,C100000,2024-12-29,44.4,body-care,Sugar Scrub,True
O10005,C100000,2025-03-10,37.3,body-care,Velvet Body Butter,False
O10002,C100000,2025-03-24,36.87,body-care,Sugar Scrub,False
O10004,C100000,2025-06-29,33.96,body-care,Sugar Scrub,False
O10007,C100001,2026-04-19,99.48,bundles,Gift Set,False
O10010,C100001,2026-04-21,29.25,wellness-tea,Calm Blend,False
O10008,C100001,2026-06-03,37.41,haircare,Root Boost Drops,False
O10009,C100001,2026-07-10,46.75,haircare,Silk Repair Mask,False
O10014,C100002,2024-10-20,29.21,wellness-tea,Detox Blend,True
O10012,C100002,2024-11-06,43.05,wellness-tea,Focus Blend,True
O10013,C100002,2025-12-01,41.24,wellness-tea,Calm Blend,True
O10011,C100002,2025-12-02,21.82,wellness-tea,Calm Blend,False
O10015,C100003,2025-03-28,50.03,supplements,Daily Greens,False
O10016,C100003,2025-05-19,57.02,supplements,Sleep Gummies,False
O10019,C100004,2025-04-05,18.88,body-care,Hand Repair,False
O10021,C100004,2025-05-27,31.88,body-care,Hand Repair,False
O10020,C100004,2025-05-28,47.73,body-care,Velvet Body Butter,False
O10022,C100004,2025-06-01,40.65,body-care,Hand Repair,False
O10018,C100004,2025-07-07,55.78,wellness-tea,Focus Blend,False
O10017,C100004,2025-08-30,103.34,bundles,Gift Set,False
O10023,C100004,2026-05-07,28.21,body-care,Sugar Scrub,False
O10029,C100005,2025-04-10,50.93,skincare,Glow SPF 40,False
O10025,C100005,2025-06-03,28.49,skincare,Renew Serum,False
O10024,C100005,2025-08-20,26.05,skincare,Glow SPF 40,False
O10026,C100005,2025-09-29,20.12,skincare,Renew Serum,False
O10028,C100005,2025-10-14,20.46,skincare,Glow SPF 40,False
O10027,C100005,2026-04-22,24.99,haircare,Root Boost Drops,False
O10035,C100006,2025-08-20,21.08,skincare,Dew Cream,False
O10030,C100006,2025-09-05,20.85,skincare,Dew Cream,False
O10033,C100006,2025-10-04,29.16,skincare,Dew Cream,False
O10031,C100006,2025-11-19,42.31,skincare,Renew Serum,False
O10032,C100006,2026-01-09,39.96,body-care,Sugar Scrub,False
